Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,4.7uF,C23733
"C10, C23, C24, C25, C26, C30, C31, C32, C34, C9",0402,10,10uF,C15525
"C11, C21, C22",0603,3,22uF,C59461
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C27, C28, C29, C33, C6, C7, C8, C41, C43",0402,18,0.1uF,C1525
"C35, C36, C37, C38",0402,4,2.2uF,C12530
"C39, C40",0402,2,0.47uF,C47339
"C4, C5",0402,2,20pF,C1554
C42,0402,1,1uF,C52923
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948
J2,PJ-242,1,AudioJack3_SwitchTR,C431536
J3,Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal,1,Conn_01x12,C51901313
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J5,TF-SMD_TF-CARD-H1.8,1,Micro_SD_Card_Det1,C7529389
L1,0402,1,3.3uH,C84474
L2,0402,1,1uH,C84468
"LS1, LS2",PinHeader_1x02_P2.54mm_Vertical,2,Speaker,
"R1, R2",0402,2,5.1K,C25905
"R10, R11",0402,2,470,C25117
"R12, R13",0603,2,20K,C4184
R14,0402,1,10,C25077
"R15, R16, R17, R18",0402,4,10K,C25531
"R3, R4",0603,2,27,C25190
R5,0402,1,33,C25105
"R6, R7",0402,2,1K,C11702
"R8, R9",0603,2,2,C22977
"SW1, SW2",L_Taiyo-Yuden_NR-40xx,2,SW_Push,
"SW3, SW4",button_342,2,SW_Push,
SW5,SW-TH_MSK12D18G2,1,SW_SPDT,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
U2,eSOP-8,1,IP5306,C181692
U3,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,C41378174
U4,SOT-23-3,1,XC6206PxxxMR,C5446
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,PAM8403D,C5122557
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,AS5600,C499458
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
