Designator,Mid X,Mid Y,Rotation,Layer
C1,142.475,-87.325,0.0,bottom
C10,171.175,-116.995,270.0,bottom
C11,163.525,-112.475,0.0,bottom
C12,154.78,-91.388571,180.0,bottom
C13,154.78,-89.943125,180.0,bottom
C14,154.78,-88.497678,180.0,bottom
C15,154.775,-87.052232,180.0,bottom
C16,154.775,-85.606786,180.0,bottom
C17,154.775,-84.161339,180.0,bottom
C18,154.775,-82.715893,180.0,bottom
C19,154.775,-81.270446,180.0,bottom
C2,142.485,-88.395,0.0,bottom
C20,154.775,-79.825,180.0,bottom
C21,156.35,-115.075,0.0,bottom
C22,156.35,-116.625,0.0,bottom
C23,156.25,-117.925,0.0,bottom
C24,159.775,-109.725,0.0,bottom
C25,158.93,-117.975,0.0,bottom
C26,159.68,-116.825,0.0,bottom
C27,141.975,-95.925,90.0,bottom
C28,140.135,-95.925,90.0,bottom
C29,138.295,-95.925,90.0,bottom
C3,146.675,-87.875,180.0,bottom
C30,136.455,-95.925,90.0,bottom
C31,134.615,-95.925,90.0,bottom
C32,132.775,-95.95,90.0,bottom
C33,131.775,-99.825,90.0,bottom
C34,132.825,-99.825,90.0,bottom
C35,143.85,-101.0,180.0,bottom
C36,142.1,-100.175,270.0,bottom
C37,137.475,-107.2,180.0,bottom
C38,137.475,-106.2,180.0,bottom
C39,137.325,-109.275,180.0,bottom
C4,149.55,-76.675,90.0,bottom
C40,137.3,-119.525,180.0,bottom
C41,143.875,-112.28,90.0,bottom
C42,153.3,-103.95,270.0,bottom
C43,159.2,-56.6,270.0,bottom
C5,154.95,-76.675,270.0,bottom
C6,142.615,-90.55,270.0,bottom
C7,144.585,-90.55,270.0,bottom
C8,146.555,-90.55,270.0,bottom
C9,170.125,-116.995,270.0,bottom
H1,119.45,-36.5,0.0,top
H2,177.5,-36.7,0.0,top
H3,119.625,-129.55,0.0,top
H4,177.475,-129.55,0.0,top
H5,176.925,-55.975,0.0,top
J1,148.575,-130.965,0.0,bottom
J2,121.7,-99.425,270.0,bottom
J3,162.675,-57.825,270.0,bottom
J4,165.695,-121.775,90.0,top
J5,171.225,-99.7,270.0,bottom
L1,146.685,-88.975,180.0,bottom
L2,161.275,-116.975,270.0,bottom
LS1,123.495,-123.8,90.0,top
LS2,131.17,-123.75,90.0,top
R1,149.375,-124.76,90.0,bottom
R10,142.575,-102.075,180.0,bottom
R11,142.575,-103.075,180.0,bottom
R12,139.95,-109.275,180.0,bottom
R13,139.95,-119.525,180.0,bottom
R14,159.2,-54.61,90.0,bottom
R15,164.175,-100.85,180.0,bottom
R16,164.175,-99.75,180.0,bottom
R17,164.175,-97.55,180.0,bottom
R18,164.175,-95.35,180.0,bottom
R2,147.385,-124.76,90.0,bottom
R3,150.185,-88.825,90.0,bottom
R4,148.6,-88.825,90.0,bottom
R5,144.46,-88.3,270.0,bottom
R6,142.475,-86.1,180.0,bottom
R7,148.45,-76.7,270.0,bottom
R8,171.425,-115.075,0.0,bottom
R9,161.05,-119.525,90.0,bottom
SW1,137.1,-87.175,90.0,bottom
SW2,145.325,-76.425,180.0,bottom
SW3,125.65,-80.45,0.0,top
SW4,171.5,-80.45,0.0,top
SW5,178.375,-116.025,90.0,top
U1,137.6625,-101.75,270.0,bottom
U2,165.63,-117.005,0.0,bottom
U3,148.7625,-83.125,270.0,bottom
U4,159.8,-112.5375,90.0,bottom
U5,137.96,-114.65,180.0,bottom
U6,148.575,-103.4675,270.0,bottom
Y1,152.25,-76.675,0.0,bottom
